journal,volume,journal_code,year,ISSN,editors,areas
Expert Syst. Appl. X,8,Ex8,2020,ISSN 1234-5678,Rachael Moore,"Computer architecture and organization|Social computing and human–computer interaction|Theoretical computer science|Information and coding theory|Computer systems and computational processes|Computer networks|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Found. Comput. Math.,10,Fo10,2010,ISSN 1234-5678,Hollis Williamson,Programming language theory and formal methods|Computer security and cryptography|Computer security and cryptography|Computer security and cryptography|Data structures and algorithms
Found. Comput. Math.,11,Fo11,2011,ISSN 1234-5678,Hollis Williamson,Programming language theory and formal methods|Computer security and cryptography|Computer security and cryptography|Computer security and cryptography|Data structures and algorithms
Found. Comput. Math.,12,Fo12,2012,ISSN 1234-5678,Hollis Williamson,Programming language theory and formal methods|Computer security and cryptography|Computer security and cryptography|Computer security and cryptography|Data structures and algorithms
Found. Comput. Math.,13,Fo13,2013,ISSN 1234-5678,Hollis Williamson,Programming language theory and formal methods|Computer security and cryptography|Computer security and cryptography|Computer security and cryptography|Data structures and algorithms
Found. Comput. Math.,14,Fo14,2014,ISSN 1234-5678,Hollis Williamson,Programming language theory and formal methods|Computer security and cryptography|Computer security and cryptography|Computer security and cryptography|Data structures and algorithms
Found. Comput. Math.,15,Fo15,2015,ISSN 1234-5678,Hollis Williamson,Programming language theory and formal methods|Computer security and cryptography|Computer security and cryptography|Computer security and cryptography|Data structures and algorithms
Found. Comput. Math.,16,Fo16,2016,ISSN 1234-5678,Hollis Williamson,Programming language theory and formal methods|Computer security and cryptography|Computer security and cryptography|Computer security and cryptography|Data structures and algorithms
Found. Comput. Math.,17,Fo17,2017,ISSN 1234-5678,Hollis Williamson,Programming language theory and formal methods|Computer security and cryptography|Computer security and cryptography|Computer security and cryptography|Data structures and algorithms
Found. Comput. Math.,18,Fo18,2018,ISSN 1234-5678,Hollis Williamson,Programming language theory and formal methods|Computer security and cryptography|Computer security and cryptography|Computer security and cryptography|Data structures and algorithms
Found. Comput. Math.,19,Fo19,2019,ISSN 1234-5678,Hollis Williamson,Programming language theory and formal methods|Computer security and cryptography|Computer security and cryptography|Computer security and cryptography|Data structures and algorithms
Found. Comput. Math.,20,Fo20,2020,ISSN 1234-5678,Hollis Williamson,Programming language theory and formal methods|Computer security and cryptography|Computer security and cryptography|Computer security and cryptography|Data structures and algorithms
Found. Comput. Math.,21,Fo21,2021,ISSN 1234-5678,Hollis Williamson,Programming language theory and formal methods|Computer security and cryptography|Computer security and cryptography|Computer security and cryptography|Data structures and algorithms
Found. Comput. Math.,22,Fo22,2022,ISSN 1234-5678,Hollis Williamson,Programming language theory and formal methods|Computer security and cryptography|Computer security and cryptography|Computer security and cryptography|Data structures and algorithms
IEEE Intell. Transp. Syst. Mag.,10,IE10,2018,ISSN 1234-5678,Lori Todd,"Applied computer science|Social computing and human–computer interaction|Theory of computation|Concurrent, parallel and distributed computing|Computational science, finance and engineering|Computer networks|Programming language theory and formal methods|Artificial intelligence|Databases and data mining"
IEEE Intell. Transp. Syst. Mag.,11,IE11,2019,ISSN 1234-5678,Lori Todd,"Applied computer science|Social computing and human–computer interaction|Theory of computation|Concurrent, parallel and distributed computing|Computational science, finance and engineering|Computer networks|Programming language theory and formal methods|Artificial intelligence|Databases and data mining"
IEEE Intell. Transp. Syst. Mag.,12,IE12,2020,ISSN 1234-5678,Lori Todd,"Applied computer science|Social computing and human–computer interaction|Theory of computation|Concurrent, parallel and distributed computing|Computational science, finance and engineering|Computer networks|Programming language theory and formal methods|Artificial intelligence|Databases and data mining"
IEEE Intell. Transp. Syst. Mag.,13,IE13,2021,ISSN 1234-5678,Lori Todd,"Applied computer science|Social computing and human–computer interaction|Theory of computation|Concurrent, parallel and distributed computing|Computational science, finance and engineering|Computer networks|Programming language theory and formal methods|Artificial intelligence|Databases and data mining"
IEEE Intell. Transp. Syst. Mag.,14,IE14,2022,ISSN 1234-5678,Lori Todd,"Applied computer science|Social computing and human–computer interaction|Theory of computation|Concurrent, parallel and distributed computing|Computational science, finance and engineering|Computer networks|Programming language theory and formal methods|Artificial intelligence|Databases and data mining"
IEEE Intell. Transp. Syst. Mag.,2,IE2,2010,ISSN 1234-5678,Lori Todd,"Applied computer science|Social computing and human–computer interaction|Theory of computation|Concurrent, parallel and distributed computing|Computational science, finance and engineering|Computer networks|Programming language theory and formal methods|Artificial intelligence|Databases and data mining"
IEEE Intell. Transp. Syst. Mag.,3,IE3,2011,ISSN 1234-5678,Lori Todd,"Applied computer science|Social computing and human–computer interaction|Theory of computation|Concurrent, parallel and distributed computing|Computational science, finance and engineering|Computer networks|Programming language theory and formal methods|Artificial intelligence|Databases and data mining"
IEEE Intell. Transp. Syst. Mag.,4,IE4,2012,ISSN 1234-5678,Lori Todd,"Applied computer science|Social computing and human–computer interaction|Theory of computation|Concurrent, parallel and distributed computing|Computational science, finance and engineering|Computer networks|Programming language theory and formal methods|Artificial intelligence|Databases and data mining"
IEEE Intell. Transp. Syst. Mag.,5,IE5,2013,ISSN 1234-5678,Lori Todd,"Applied computer science|Social computing and human–computer interaction|Theory of computation|Concurrent, parallel and distributed computing|Computational science, finance and engineering|Computer networks|Programming language theory and formal methods|Artificial intelligence|Databases and data mining"
IEEE Intell. Transp. Syst. Mag.,6,IE6,2014,ISSN 1234-5678,Lori Todd,"Applied computer science|Social computing and human–computer interaction|Theory of computation|Concurrent, parallel and distributed computing|Computational science, finance and engineering|Computer networks|Programming language theory and formal methods|Artificial intelligence|Databases and data mining"
IEEE Intell. Transp. Syst. Mag.,7,IE7,2015,ISSN 1234-5678,Lori Todd,"Applied computer science|Social computing and human–computer interaction|Theory of computation|Concurrent, parallel and distributed computing|Computational science, finance and engineering|Computer networks|Programming language theory and formal methods|Artificial intelligence|Databases and data mining"
IEEE Intell. Transp. Syst. Mag.,8,IE8,2016,ISSN 1234-5678,Lori Todd,"Applied computer science|Social computing and human–computer interaction|Theory of computation|Concurrent, parallel and distributed computing|Computational science, finance and engineering|Computer networks|Programming language theory and formal methods|Artificial intelligence|Databases and data mining"
IEEE Intell. Transp. Syst. Mag.,9,IE9,2017,ISSN 1234-5678,Lori Todd,"Applied computer science|Social computing and human–computer interaction|Theory of computation|Concurrent, parallel and distributed computing|Computational science, finance and engineering|Computer networks|Programming language theory and formal methods|Artificial intelligence|Databases and data mining"
Int. J. Trust. Manag. Comput. Commun.,1,In1,2013,ISSN 1234-5678,Mildred Seager,Computer systems and computational processes|Computer graphics and visualization|Computer systems and computational processes|Theory of computation|Computer graphics and visualization
Int. J. Trust. Manag. Comput. Commun.,2,In2,2014,ISSN 1234-5678,Mildred Seager,Computer systems and computational processes|Computer graphics and visualization|Computer systems and computational processes|Theory of computation|Computer graphics and visualization
Int. J. Trust. Manag. Comput. Commun.,3,In3,2016,ISSN 1234-5678,Mildred Seager,Computer systems and computational processes|Computer graphics and visualization|Computer systems and computational processes|Theory of computation|Computer graphics and visualization
Int. J. Trust. Manag. Comput. Commun.,4,In4,2017,ISSN 1234-5678,Mildred Seager,Computer systems and computational processes|Computer graphics and visualization|Computer systems and computational processes|Theory of computation|Computer graphics and visualization
Sci. Comput. Program.,123,Sc123,2016,ISSN 1234-5678,Donald Jackson,Computer systems and computational processes|Software engineering|Computer systems and computational processes|Theoretical computer science|Applied computer science|Image and sound processing|Programming language theory and formal methods|Computer systems and computational processes
Stud. Inform. Univ.,10,St10,2012,ISSN 1234-5678,William Gertelman,"Databases and data mining|Computational science, finance and engineering|Theory of computation|Programming language theory and formal methods|Social computing and human–computer interaction|Image and sound processing|Theoretical computer science|Computer networks|Concurrent, parallel and distributed computing"
Stud. Inform. Univ.,11,St11,2013,ISSN 1234-5678,William Gertelman,"Databases and data mining|Computational science, finance and engineering|Theory of computation|Programming language theory and formal methods|Social computing and human–computer interaction|Image and sound processing|Theoretical computer science|Computer networks|Concurrent, parallel and distributed computing"
Stud. Inform. Univ.,12,St12,2014,ISSN 1234-5678,William Gertelman,"Databases and data mining|Computational science, finance and engineering|Theory of computation|Programming language theory and formal methods|Social computing and human–computer interaction|Image and sound processing|Theoretical computer science|Computer networks|Concurrent, parallel and distributed computing"
Stud. Inform. Univ.,8,St8,2010,ISSN 1234-5678,William Gertelman,"Databases and data mining|Computational science, finance and engineering|Theory of computation|Programming language theory and formal methods|Social computing and human–computer interaction|Image and sound processing|Theoretical computer science|Computer networks|Concurrent, parallel and distributed computing"
Stud. Inform. Univ.,9,St9,2011,ISSN 1234-5678,William Gertelman,"Databases and data mining|Computational science, finance and engineering|Theory of computation|Programming language theory and formal methods|Social computing and human–computer interaction|Image and sound processing|Theoretical computer science|Computer networks|Concurrent, parallel and distributed computing"
Syst. Control. Lett.,100,Sy100,2017,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,101,Sy101,2017,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,102,Sy102,2017,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,103,Sy103,2017,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,104,Sy104,2017,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,105,Sy105,2017,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,106,Sy106,2017,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,107,Sy107,2017,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,108,Sy108,2017,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,109,Sy109,2017,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,110,Sy110,2017,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,111,Sy111,2018,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,112,Sy112,2018,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,113,Sy113,2018,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,114,Sy114,2018,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,115,Sy115,2018,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,116,Sy116,2018,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,117,Sy117,2018,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,118,Sy118,2018,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,119,Sy119,2018,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,120,Sy120,2018,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,121,Sy121,2018,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,122,Sy122,2018,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,123,Sy123,2019,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,124,Sy124,2019,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,125,Sy125,2019,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,126,Sy126,2019,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,127,Sy127,2019,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,128,Sy128,2019,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,129,Sy129,2019,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,130,Sy130,2019,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,131,Sy131,2019,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,132,Sy132,2019,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,133,Sy133,2019,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,134,Sy134,2019,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,135,Sy135,2020,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,136,Sy136,2020,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,137,Sy137,2020,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,138,Sy138,2020,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,139,Sy139,2020,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,140,Sy140,2020,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,141,Sy141,2020,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,142,Sy142,2020,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,143,Sy143,2020,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,144,Sy144,2020,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,145,Sy145,2020,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,146,Sy146,2020,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,147,Sy147,2021,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,148,Sy148,2021,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,149,Sy149,2021,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,150,Sy150,2021,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,151,Sy151,2021,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,152,Sy152,2021,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,153,Sy153,2021,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,154,Sy154,2021,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,155,Sy155,2021,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,156,Sy156,2021,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,157,Sy157,2021,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,158,Sy158,2021,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,159,Sy159,2022,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,160,Sy160,2022,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,59,Sy59,2010,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
Syst. Control. Lett.,60,Sy60,2011,ISSN 1234-5678,Sally Johnson,"Computer security and cryptography|Social computing and human–computer interaction|Software engineering|Computer systems and computational processes|Databases and data mining|Concurrent, parallel and distributed computing|Image and sound processing"
